酱	-chan
君	-kun
医生	bác sĩ
陛下	bệ hạ
药师	dược sư
大人	đại nhân
道友	đạo hữu
侯爵	hầu tước
皇	hoàng
兄	huynh
师弟	sư đệ
师兄	sư huynh
上仙	thượng tiên
先生	tiên sinh
小姐	tiểu thư
长老	trưởng lão
